elapsed_s,pid,raw,bytes
0.645,221022,"62102200",0x00(0)
0.711,2210A6,"6210A61A",0x1A(26)
0.768,223018,"7F2231",ERR
0.835,2210A8,"6210A800",0x00(0)
0.915,22101F,"7F2231",ERR
0.980,2210B0,"6210B028",0x28(40)
1.859,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
1.913,223050,"7F2231",ERR
1.968,22309A,"7F2231",ERR
2.866,221022,"62102200",0x00(0)
2.915,2210A6,"6210A628",0x28(40)
2.966,223018,"7F2231",ERR
3.012,2210A8,"6210A800",0x00(0)
3.070,22101F,"7F2231",ERR
3.129,2210B0,"6210B028",0x28(40)
4.259,221022,"62102200",0x00(0)
4.321,2210A6,"6210A63B",0x3B(59)
4.374,223018,"7F2231",ERR
4.438,2210A8,"6210A800",0x00(0)
4.491,22101F,"7F2231",ERR
4.539,2210B0,"6210B028",0x28(40)
4.897,2210B1,"6210B103",0x03(3)
5.913,221022,"62102200",0x00(0)
5.961,2210A6,"6210A63A",0x3A(58)
6.017,223018,"7F2231",ERR
6.067,2210A8,"6210A800",0x00(0)
6.116,22101F,"7F2231",ERR
6.179,2210B0,"6210B028",0x28(40)
6.755,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
6.815,223050,"7F2231",ERR
6.871,22309A,"7F2231",ERR
7.859,221022,"62102200",0x00(0)
7.935,2210A6,"6210A62F",0x2F(47)
7.990,223018,"7F2231",ERR
8.047,2210A8,"6210A847",0x47(71)
8.109,22101F,"7F2231",ERR
8.168,2210B0,"6210B028",0x28(40)
9.317,221022,"62102200",0x00(0)
9.368,2210A6,"6210A639",0x39(57)
9.428,223018,"7F2231",ERR
9.498,2210A8,"6210A800",0x00(0)
9.559,22101F,"7F2231",ERR
9.616,2210B0,"6210B028",0x28(40)
9.961,2210B1,"6210B100",0x00(0)
10.590,221022,"62102200",0x00(0)
10.661,2210A6,"6210A643",0x43(67)
10.719,223018,"7F2231",ERR
10.775,2210A8,"6210A800",0x00(0)
10.824,22101F,"7F2231",ERR
11.041,2210B0,"6210B09B",0x9B(155)
11.854,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
11.907,223050,"7F2231",ERR
11.954,22309A,"7F2231",ERR
12.519,221022,"62102200",0x00(0)
12.603,2210A6,"6210A600",0x00(0)
12.758,223018,"7F2231",ERR
12.940,2210A8,"6210A847",0x47(71)
13.039,22101F,"7F2231",ERR
13.086,2210B0,"6210B09D",0x9D(157)
13.895,221022,"62102200",0x00(0)
13.955,2210A6,"6210A610",0x10(16)
14.012,223018,"7F2231",ERR
14.071,2210A8,"6210A800",0x00(0)
14.127,22101F,"7F2231",ERR
14.191,2210B0,"6210B02B",0x2B(43)
15.350,221022,"62102200",0x00(0)
15.414,2210A6,"6210A600",0x00(0)
15.467,223018,"7F2231",ERR
15.528,2210A8,"6210A847",0x47(71)
15.585,22101F,"7F2231",ERR
15.657,2210B0,"6210B028",0x28(40)
15.712,2210B1,"6210B100",0x00(0)
16.862,221022,"62102200",0x00(0)
16.929,2210A6,"6210A600",0x00(0)
16.990,223018,"7F2231",ERR
17.047,2210A8,"6210A847",0x47(71)
17.103,22101F,"7F2231",ERR
17.149,2210B0,"6210B028",0x28(40)
17.588,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
17.644,223050,"7F2231",ERR
17.698,22309A,"7F2231",ERR
18.815,221022,"62102200",0x00(0)
18.863,2210A6,"6210A600",0x00(0)
18.910,223018,"7F2231",ERR
18.963,2210A8,"6210A800",0x00(0)
19.019,22101F,"7F2231",ERR
19.067,2210B0,"6210B09B",0x9B(155)
19.908,221022,"62102200",0x00(0)
19.963,2210A6,"6210A600",0x00(0)
20.020,223018,"7F2231",ERR
20.171,2210A8,"6210A800",0x00(0)
20.367,22101F,"7F2231",ERR
20.467,2210B0,"6210B09D",0x9D(157)
20.650,2210B1,"6210B100",0x00(0)
21.331,221022,"62102200",0x00(0)
21.402,2210A6,"6210A62E",0x2E(46)
21.455,223018,"7F2231",ERR
21.499,2210A8,"6210A847",0x47(71)
21.546,22101F,"7F2231",ERR
21.605,2210B0,"6210B09D",0x9D(157)
22.476,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
22.532,223050,"7F2231",ERR
22.588,22309A,"7F2231",ERR
23.317,221022,"62102200",0x00(0)
23.376,2210A6,"6210A600",0x00(0)
23.430,223018,"7F2231",ERR
23.482,2210A8,"6210A847",0x47(71)
23.530,22101F,"7F2231",ERR
23.574,2210B0,"6210B09D",0x9D(157)
24.694,221022,"62102200",0x00(0)
24.744,2210A6,"6210A606",0x06(6)
24.801,223018,"7F2231",ERR
24.858,2210A8,"6210A800",0x00(0)
24.904,22101F,"7F2231",ERR
24.953,2210B0,"6210B09D",0x9D(157)
25.273,2210B1,"6210B100",0x00(0)
26.337,221022,"62102200",0x00(0)
26.402,2210A6,"6210A61A",0x1A(26)
26.455,223018,"7F2231",ERR
26.514,2210A8,"6210A847",0x47(71)
26.573,22101F,"7F2231",ERR
26.622,2210B0,"6210B02B",0x2B(43)
27.321,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
27.378,223050,"7F2231",ERR
27.425,22309A,"7F2231",ERR
28.278,221022,"62102200",0x00(0)
28.343,2210A6,"6210A612",0x12(18)
28.412,223018,"7F2231",ERR
28.469,2210A8,"6210A800",0x00(0)
28.532,22101F,"7F2231",ERR
28.592,2210B0,"6210B028",0x28(40)
29.498,221022,"62102200",0x00(0)
29.558,2210A6,"6210A60D",0x0D(13)
29.620,223018,"7F2231",ERR
29.688,2210A8,"6210A800",0x00(0)
29.747,22101F,"7F2231",ERR
29.793,2210B0,"6210B028",0x28(40)
30.721,221022,"62102200",0x00(0)
30.774,2210A6,"6210A60F",0x0F(15)
30.840,223018,"7F2231",ERR
30.906,2210A8,"6210A847",0x47(71)
30.963,22101F,"7F2231",ERR
31.020,2210B0,"6210B028",0x28(40)
31.068,2210B1,"6210B102",0x02(2)
31.992,221022,"62102200",0x00(0)
32.058,2210A6,"6210A60E",0x0E(14)
32.118,223018,"7F2231",ERR
32.170,2210A8,"6210A800",0x00(0)
32.245,22101F,"7F2231",ERR
32.289,2210B0,"6210B028",0x28(40)
32.761,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
32.810,223050,"7F2231",ERR
32.871,22309A,"7F2231",ERR
33.789,221022,"62102200",0x00(0)
33.836,2210A6,"6210A60D",0x0D(13)
33.889,223018,"7F2231",ERR
33.936,2210A8,"6210A800",0x00(0)
33.982,22101F,"7F2231",ERR
34.032,2210B0,"6210B028",0x28(40)
34.900,221022,"62102200",0x00(0)
34.960,2210A6,"6210A600",0x00(0)
35.002,223018,"7F2231",ERR
35.072,2210A8,"6210A800",0x00(0)
35.127,22101F,"7F2231",ERR
35.173,2210B0,"6210B028",0x28(40)
35.398,2210B1,"6210B100",0x00(0)
36.143,221022,"62102200",0x00(0)
36.191,2210A6,"6210A64B",0x4B(75)
36.261,223018,"7F2231",ERR
36.316,2210A8,"6210A800",0x00(0)
36.408,22101F,"7F2231",ERR
36.462,2210B0,"6210B09C",0x9C(156)
37.133,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
37.219,223050,"7F2231",ERR
37.280,22309A,"7F2231",ERR
38.080,221022,"62102200",0x00(0)
38.135,2210A6,"6210A610",0x10(16)
38.191,223018,"7F2231",ERR
38.244,2210A8,"6210A800",0x00(0)
38.289,22101F,"7F2231",ERR
38.341,2210B0,"6210B09D",0x9D(157)
39.229,221022,"62102200",0x00(0)
39.283,2210A6,"6210A613",0x13(19)
39.340,223018,"7F2231",ERR
39.406,2210A8,"6210A846",0x46(70)
39.474,22101F,"7F2231",ERR
39.553,2210B0,"6210B02B",0x2B(43)
39.866,2210B1,"6210B103",0x03(3)
40.517,221022,"62102200",0x00(0)
40.594,2210A6,"6210A614",0x14(20)
40.658,223018,"7F2231",ERR
40.717,2210A8,"6210A800",0x00(0)
40.788,22101F,"7F2231",ERR
40.839,2210B0,"6210B028",0x28(40)
41.514,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
41.579,223050,"7F2231",ERR
41.634,22309A,"7F2231",ERR
42.283,221022,"62102200",0x00(0)
42.331,2210A6,"6210A60E",0x0E(14)
42.389,223018,"7F2231",ERR
42.507,2210A8,"6210A847",0x47(71)
42.565,22101F,"7F2231",ERR
42.630,2210B0,"6210B028",0x28(40)
43.515,221022,"62102200",0x00(0)
43.561,2210A6,"6210A600",0x00(0)
43.626,223018,"7F2231",ERR
43.677,2210A8,"6210A847",0x47(71)
43.770,22101F,"7F2231",ERR
43.834,2210B0,"6210B028",0x28(40)
44.725,221022,"62102200",0x00(0)
44.786,2210A6,"6210A600",0x00(0)
44.853,223018,"7F2231",ERR
44.915,2210A8,"6210A800",0x00(0)
44.974,22101F,"7F2231",ERR
45.036,2210B0,"6210B028",0x28(40)
45.084,2210B1,"6210B100",0x00(0)
45.957,221022,"62102200",0x00(0)
46.019,2210A6,"6210A600",0x00(0)
46.084,223018,"7F2231",ERR
46.148,2210A8,"6210A800",0x00(0)
46.204,22101F,"7F2231",ERR
46.262,2210B0,"6210B09B",0x9B(155)
46.778,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
46.831,223050,"7F2231",ERR
46.887,22309A,"7F2231",ERR
47.759,221022,"62102200",0x00(0)
47.812,2210A6,"6210A617",0x17(23)
47.864,223018,"7F2231",ERR
47.933,2210A8,"6210A800",0x00(0)
47.988,22101F,"7F2231",ERR
48.047,2210B0,"6210B09D",0x9D(157)
49.032,221022,"62102200",0x00(0)
49.093,2210A6,"6210A600",0x00(0)
49.146,223018,"7F2231",ERR
49.192,2210A8,"6210A847",0x47(71)
49.250,22101F,"7F2231",ERR
49.312,2210B0,"6210B02B",0x2B(43)
49.540,2210B1,"6210B100",0x00(0)
50.304,221022,"62102200",0x00(0)
50.366,2210A6,"6210A600",0x00(0)
50.433,223018,"7F2231",ERR
50.487,2210A8,"6210A847",0x47(71)
50.554,22101F,"7F2231",ERR
50.602,2210B0,"6210B028",0x28(40)
51.170,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
51.225,223050,"7F2231",ERR
51.290,22309A,"7F2231",ERR
52.044,221022,"62102200",0x00(0)
52.110,2210A6,"6210A609",0x09(9)
52.164,223018,"7F2231",ERR
52.229,2210A8,"6210A800",0x00(0)
52.288,22101F,"7F2231",ERR
52.343,2210B0,"6210B028",0x28(40)
53.270,221022,"62102200",0x00(0)
53.329,2210A6,"6210A60D",0x0D(13)
53.393,223018,"7F2231",ERR
53.441,2210A8,"6210A847",0x47(71)
53.492,22101F,"7F2231",ERR
53.535,2210B0,"6210B028",0x28(40)
53.912,2210B1,"6210B100",0x00(0)
54.541,221022,"62102200",0x00(0)
54.591,2210A6,"6210A619",0x19(25)
54.652,223018,"7F2231",ERR
54.713,2210A8,"6210A800",0x00(0)
54.763,22101F,"7F2231",ERR
54.809,2210B0,"6210B028",0x28(40)
55.548,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
55.610,223050,"7F2231",ERR
55.663,22309A,"7F2231",ERR
56.278,221022,"62102200",0x00(0)
56.329,2210A6,"6210A612",0x12(18)
56.381,223018,"7F2231",ERR
56.439,2210A8,"6210A800",0x00(0)
56.491,22101F,"7F2231",ERR
56.577,2210B0,"6210B028",0x28(40)
57.725,221022,"62102200",0x00(0)
57.784,2210A6,"6210A612",0x12(18)
57.856,223018,"7F2231",ERR
57.915,2210A8,"6210A800",0x00(0)
57.972,22101F,"7F2231",ERR
58.032,2210B0,"6210B028",0x28(40)
58.828,221022,"62102200",0x00(0)
58.874,2210A6,"6210A60C",0x0C(12)
58.929,223018,"7F2231",ERR
59.006,2210A8,"6210A847",0x47(71)
59.196,22101F,"7F2231",ERR
59.382,2210B0,"6210B028",0x28(40)
59.450,2210B1,"6210B102",0x02(2)
60.254,221022,"62102200",0x00(0)
60.308,2210A6,"6210A60D",0x0D(13)
60.349,223018,"7F2231",ERR
60.411,2210A8,"6210A800",0x00(0)
60.455,22101F,"7F2231",ERR
60.511,2210B0,"6210B028",0x28(40)
61.220,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
61.282,223050,"7F2231",ERR
61.339,22309A,"7F2231",ERR
62.114,221022,"62102200",0x00(0)
62.169,2210A6,"6210A611",0x11(17)
62.221,223018,"7F2231",ERR
62.267,2210A8,"6210A847",0x47(71)
62.317,22101F,"7F2231",ERR
62.368,2210B0,"6210B028",0x28(40)
63.438,221022,"62102200",0x00(0)
63.485,2210A6,"6210A613",0x13(19)
63.542,223018,"7F2231",ERR
63.592,2210A8,"6210A800",0x00(0)
63.645,22101F,"7F2231",ERR
63.690,2210B0,"6210B028",0x28(40)
63.902,2210B1,"6210B104",0x04(4)
64.939,221022,"62102200",0x00(0)
64.997,2210A6,"6210A686",0x86(134)
65.047,223018,"7F2231",ERR
65.095,2210A8,"6210A800",0x00(0)
65.155,22101F,"7F2231",ERR
65.229,2210B0,"6210B09B",0x9B(155)
65.778,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
65.827,223050,"7F2231",ERR
65.885,22309A,"7F2231",ERR
66.914,221022,"62102200",0x00(0)
66.967,2210A6,"6210A608",0x08(8)
67.029,223018,"7F2231",ERR
67.089,2210A8,"6210A800",0x00(0)
67.146,22101F,"7F2231",ERR
67.202,2210B0,"6210B09D",0x9D(157)
67.985,221022,"62102200",0x00(0)
68.117,2210A6,"6210A600",0x00(0)
68.262,223018,"7F2231",ERR
68.454,2210A8,"6210A800",0x00(0)
68.509,22101F,"7F2231",ERR
68.568,2210B0,"6210B02B",0x2B(43)
68.927,2210B1,"6210B100",0x00(0)
69.561,221022,"62102200",0x00(0)
69.609,2210A6,"6210A600",0x00(0)
69.663,223018,"7F2231",ERR
69.709,2210A8,"6210A800",0x00(0)
69.755,22101F,"7F2231",ERR
69.808,2210B0,"6210B026",0x26(38)
70.758,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
70.814,223050,"7F2231",ERR
70.867,22309A,"7F2231",ERR
71.451,221022,"62102200",0x00(0)
71.514,2210A6,"6210A600",0x00(0)
71.573,223018,"7F2231",ERR
71.625,2210A8,"6210A847",0x47(71)
71.673,22101F,"7F2231",ERR
71.732,2210B0,"6210B09D",0x9D(157)
72.832,221022,"62102200",0x00(0)
72.891,2210A6,"6210A600",0x00(0)
72.951,223018,"7F2231",ERR
73.006,2210A8,"6210A800",0x00(0)
73.056,22101F,"7F2231",ERR
73.111,2210B0,"6210B09D",0x9D(157)
74.203,221022,"62102200",0x00(0)
74.256,2210A6,"6210A60A",0x0A(10)
74.309,223018,"7F2231",ERR
74.355,2210A8,"6210A848",0x48(72)
74.412,22101F,"7F2231",ERR
74.491,2210B0,"6210B09D",0x9D(157)
74.543,2210B1,"6210B100",0x00(0)
75.370,221022,"62102200",0x00(0)
75.427,2210A6,"6210A603",0x03(3)
75.477,223018,"7F2231",ERR
75.523,2210A8,"6210A800",0x00(0)
75.594,22101F,"7F2231",ERR
75.646,2210B0,"6210B09D",0x9D(157)
76.417,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
76.472,223050,"7F2231",ERR
76.523,22309A,"7F2231",ERR
77.536,221022,"62102200",0x00(0)
77.731,2210A6,"6210A615",0x15(21)
77.796,223018,"7F2231",ERR
77.853,2210A8,"6210A847",0x47(71)
77.903,22101F,"7F2231",ERR
77.959,2210B0,"6210B02B",0x2B(43)
78.768,221022,"62102200",0x00(0)
78.826,2210A6,"6210A600",0x00(0)
78.882,223018,"7F2231",ERR
78.941,2210A8,"6210A848",0x48(72)
78.991,22101F,"7F2231",ERR
79.041,2210B0,"6210B028",0x28(40)
79.259,2210B1,"6210B102",0x02(2)
80.264,221022,"62102200",0x00(0)
80.322,2210A6,"6210A600",0x00(0)
80.366,223018,"7F2231",ERR
80.423,2210A8,"6210A848",0x48(72)
80.482,22101F,"7F2231",ERR
80.528,2210B0,"6210B028",0x28(40)
81.109,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
81.165,223050,"7F2231",ERR
81.222,22309A,"7F2231",ERR
82.255,221022,"62102200",0x00(0)
82.308,2210A6,"6210A600",0x00(0)
82.364,223018,"7F2231",ERR
82.426,2210A8,"6210A848",0x48(72)
82.488,22101F,"7F2231",ERR
82.545,2210B0,"6210B028",0x28(40)
83.701,221022,"62102200",0x00(0)
83.764,2210A6,"6210A600",0x00(0)
83.816,223018,"7F2231",ERR
83.876,2210A8,"6210A800",0x00(0)
83.924,22101F,"7F2231",ERR
83.981,2210B0,"6210B09C",0x9C(156)
84.313,2210B1,"6210B100",0x00(0)
84.903,221022,"62102200",0x00(0)
85.125,2210A6,"6210A600",0x00(0)
85.315,223018,"7F2231",ERR
85.385,2210A8,"6210A800",0x00(0)
85.436,22101F,"7F2231",ERR
85.488,2210B0,"6210B09B",0x9B(155)
86.146,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
86.199,223050,"7F2231",ERR
86.255,22309A,"7F2231",ERR
86.813,221022,"62102200",0x00(0)
86.961,2210A6,"6210A600",0x00(0)
87.163,223018,"7F2231",ERR
87.300,2210A8,"6210A847",0x47(71)
87.361,22101F,"7F2231",ERR
87.418,2210B0,"6210B09D",0x9D(157)
88.206,221022,"62102200",0x00(0)
88.261,2210A6,"6210A600",0x00(0)
88.318,223018,"7F2231",ERR
88.373,2210A8,"6210A800",0x00(0)
88.420,22101F,"7F2231",ERR
88.479,2210B0,"6210B09D",0x9D(157)
89.597,221022,"62102200",0x00(0)
89.650,2210A6,"6210A600",0x00(0)
89.704,223018,"7F2231",ERR
89.757,2210A8,"6210A800",0x00(0)
89.851,22101F,"7F2231",ERR
89.900,2210B0,"6210B09D",0x9D(157)
89.952,2210B1,"6210B100",0x00(0)
91.054,221022,"62102200",0x00(0)
91.120,2210A6,"6210A611",0x11(17)
91.179,223018,"7F2231",ERR
91.235,2210A8,"6210A847",0x47(71)
91.294,22101F,"7F2231",ERR
91.354,2210B0,"6210B09D",0x9D(157)
91.786,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
91.848,223050,"7F2231",ERR
91.902,22309A,"7F2231",ERR
93.053,221022,"62102200",0x00(0)
93.107,2210A6,"6210A605",0x05(5)
93.166,223018,"7F2231",ERR
93.223,2210A8,"6210A848",0x48(72)
93.283,22101F,"7F2231",ERR
93.354,2210B0,"6210B02B",0x2B(43)
94.209,221022,"62102200",0x00(0)
94.269,2210A6,"6210A60A",0x0A(10)
94.432,223018,"7F2231",ERR
94.601,2210A8,"6210A800",0x00(0)
94.695,22101F,"7F2231",ERR
94.748,2210B0,"6210B02B",0x2B(43)
94.970,2210B1,"6210B100",0x00(0)
95.691,221022,"62102200",0x00(0)
95.746,2210A6,"6210A600",0x00(0)
95.796,223018,"7F22314700",ERR
95.848,2210A8,"6210A800",0x00(0)
95.896,22101F,"7F2231",ERR
96.074,2210B0,"6210B028",0x28(40)
96.835,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
96.893,223050,"7F2231",ERR
96.951,22309A,"7F2231",ERR
97.646,221022,"62102200",0x00(0)
97.713,2210A6,"6210A609",0x09(9)
97.765,223018,"7F2231",ERR
97.811,2210A8,"6210A847",0x47(71)
97.874,22101F,"7F2231",ERR
97.923,2210B0,"6210B028",0x28(40)
99.040,221022,"62102200",0x00(0)
99.100,2210A6,"6210A600",0x00(0)
99.146,223018,"7F2231",ERR
99.209,2210A8,"6210A848",0x48(72)
99.257,22101F,"7F2231",ERR
99.317,2210B0,"6210B028",0x28(40)
99.659,2210B1,"6210B100",0x00(0)
100.578,221022,"62102200",0x00(0)
100.635,2210A6,"6210A600",0x00(0)
100.688,223018,"7F2231",ERR
100.738,2210A8,"6210A847",0x47(71)
100.783,22101F,"7F2231",ERR
100.859,2210B0,"6210B09B",0x9B(155)
101.484,221021,"62102137EFE4CD",0x37(55)+0xEF(239)
101.540,223050,"7F2231",ERR
101.602,22309A,"7F2231",ERR
102.495,221022,"62102200",0x00(0)
102.554,2210A6,"6210A600",0x00(0)
102.644,223018,"7F2231",ERR
102.701,2210A8,"6210A800",0x00(0)
102.750,22101F,"7F2231",ERR
102.802,2210B0,"6210B09D",0x9D(157)
103.903,221022,"62102200",0x00(0)
103.990,2210A6,"6210A61C",0x1C(28)
104.039,223018,"7F2231",ERR
104.091,2210A8,"6210A800",0x00(0)
104.157,22101F,"7F2231",ERR
104.211,2210B0,"6210B09D",0x9D(157)
105.007,221022,"62102200",0x00(0)
105.063,2210A6,"6210A622",0x22(34)
105.124,223018,"7F2231",ERR
105.211,2210A8,"6210A848",0x48(72)
105.422,22101F,"7F2231",ERR
105.609,2210B0,"6210B09D",0x9D(157)
